Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 16:57:23, 2020-12-20 17:02:50, -63,     4187, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:57:23, 2020-12-20 17:02:50, -48,      104, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:57:23, 2020-12-20 17:02:50, -46,       89, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:5B:94:AA:5E:18, 2020-12-20 17:05:23, 2020-12-20 17:09:20, -80,       13, 00:A0:57:3B:59:0E,
9E:7B:B1:BA:EA:0F, 2020-12-20 17:07:40, 2020-12-20 17:07:40, -37,        1, (not associated) ,
59:5B:7E:66:05:A4, 2020-12-20 17:07:04, 2020-12-20 17:07:04, -78,        2, (not associated) ,
92:70:2C:D4:90:9B, 2020-12-20 17:06:45, 2020-12-20 17:06:45, -37,        1, (not associated) ,
00:00:FF:FF:FF:FF, 2020-12-20 17:05:00, 2020-12-20 17:06:20,  -1,        2, FF:FF:38:EA:A7:C8,
B8:27:EB:B9:E4:8B, 2020-12-20 17:01:21, 2020-12-20 17:06:21, -42,       18, (not associated) ,
A2:2F:E8:46:61:D0, 2020-12-20 17:05:53, 2020-12-20 17:05:53, -38,        2, (not associated) ,
EC:C2:1C:38:2D:DD, 2020-12-20 17:05:16, 2020-12-20 17:05:16, -81,        1, (not associated) ,
62:E6:42:BC:B0:6A, 2020-12-20 17:04:43, 2020-12-20 17:04:43, -40,        2, (not associated) ,
FA:60:24:FC:D8:1B, 2020-12-20 17:04:17, 2020-12-20 17:04:17, -84,        1, (not associated) ,
64:70:33:E4:0E:94, 2020-12-20 17:01:21, 2020-12-20 17:01:21, -84,        5, (not associated) ,LANCOM
66:32:1E:3B:2F:2C, 2020-12-20 16:59:17, 2020-12-20 17:01:21, -89,       10, (not associated) ,LANCOM
38:EA:A7:C8:D8:97, 2020-12-20 17:00:41, 2020-12-20 17:00:41, -60,        2, 00:A0:57:3B:59:0E,
A6:9C:6A:21:E9:46, 2020-12-20 16:59:05, 2020-12-20 16:59:05, -93,        1, (not associated) ,
16:52:DB:51:BC:92, 2020-12-20 16:58:17, 2020-12-20 16:58:17, -84,        2, (not associated) ,
06:AF:9E:41:07:A6, 2020-12-20 16:58:47, 2020-12-20 16:58:47, -85,        2, (not associated) ,
14:02:62:B3:1A:3E, 2020-12-20 16:59:34, 2020-12-20 16:59:34, -79,        2, (not associated) ,
FA:78:E9:E0:58:7F, 2020-12-20 17:00:51, 2020-12-20 17:00:51, -83,        1, (not associated) ,
26:28:15:49:C1:53, 2020-12-20 17:03:35, 2020-12-20 17:03:35, -38,        2, (not associated) ,
F7:17:00:0E:58:12, 2020-12-20 17:04:01, 2020-12-20 17:04:35, -71,        2, 1C:5B:78:28:CA:C3,
80:C5:F2:C5:67:CD, 2020-12-20 17:01:22, 2020-12-20 17:06:27,   0,        2, 00:A0:57:3B:59:0E,
DC:9B:9C:0B:AD:09, 2020-12-20 17:05:12, 2020-12-20 17:08:15, -84,       17, 00:A0:57:3B:59:0E,LANCOM
A4:CF:12:13:FC:74, 2020-12-20 17:02:15, 2020-12-20 17:09:27, -86,        7, 00:A0:57:3B:59:0E,
A2:53:56:6A:F2:B6, 2020-12-20 16:59:48, 2020-12-20 17:09:53, -86,       26, 00:25:00:FF:94:73,
C8:69:CD:19:75:2A, 2020-12-20 16:57:26, 2020-12-20 17:10:31, -84,       23, 00:A0:57:3B:59:0E,
D8:00:4D:EC:23:2C, 2020-12-20 16:59:46, 2020-12-20 17:09:46, -82,        9, 00:A0:57:3B:59:0E,LANCOM
